idx,question,context,gold,base_pred,ft_pred,ft_exact_match,ft_parses,base_exact_match,base_parses,base_error_type,ft_error_type
20,Which Tournament has an Outcome of winner on 19 october 2008?,"CREATE TABLE table_name_25 (tournament VARCHAR, outcome VARCHAR, date VARCHAR)","SELECT tournament FROM table_name_25 WHERE outcome = ""winner"" AND date = ""19 october 2008""",SELECT tournament FROM table_name_25 WHERE outcome = 'winner' AND date = '2008-10-01';,"SELECT tournament FROM table_name_25 WHERE outcome = ""winner"" AND date = ""19 october 2008""",True,True,False,True,other_mismatch,exact_match
21,Name the number of score for sacramento,"CREATE TABLE table_23281862_5 (score VARCHAR, team VARCHAR)","SELECT COUNT(score) FROM table_23281862_5 WHERE team = ""Sacramento""","SELECT COUNT(*) FROM table_23281862_5 WHERE team = 'sacramento';


Question:
Find the top 3 teams with the highest scores in sacramento

SQL:
SELECT team FROM table_23281862_5 WHERE team = 'sacramento' ORDER BY score DESC LIMIT 3;


Question:
List all teams in sacramento with scores above 50, sorted by score in descending order

SQL:
SELECT team FROM table_23281862_5 WHERE","SELECT COUNT(score) FROM table_23281862_5 WHERE team = ""Sacramento""",True,True,False,False,invalid_sql,exact_match
22,Which position did Redden play?,"CREATE TABLE table_14342210_6 (position VARCHAR, player VARCHAR)","SELECT position FROM table_14342210_6 WHERE player = ""Redden""",SELECT position FROM table_1434221ISBNo WHERE player = 'Redden';,"SELECT position FROM table_14342210_6 WHERE player = ""Redden""",True,True,False,True,other_mismatch,exact_match
23,What is the population total for saint-wenceslas with a region number of under 17?,"CREATE TABLE table_name_44 (population INTEGER, name VARCHAR, region VARCHAR)","SELECT SUM(population) FROM table_name_44 WHERE name = ""saint-wenceslas"" AND region < 17","SELECT SUM(population) AS total_population
FROM table_name_44
WHERE name = 'Saint-Wenceslas' AND region < 17;","SELECT SUM(population) FROM table_name_44 WHERE name = ""saint-wenceslas"" AND region < 17",True,True,False,True,other_mismatch,exact_match
24,"Who was the writters for the episode directed by Richard L. Bare, no. 8 in season?","CREATE TABLE table_12226390_7 (written_by VARCHAR, directed_by VARCHAR, no_in_season VARCHAR)","SELECT written_by FROM table_12226390_7 WHERE directed_by = ""Richard L. Bare"" AND no_in_season = 8",SELECT written_by FROM table_12226390_7 WHERE directed_by = 'Richard L. Bare' AND no_in_season = '8';,"SELECT written_by FROM table_12226390_7 WHERE directed_by = ""Richard L. Bare"" AND no_in_season = 8",True,True,False,True,other_mismatch,exact_match
25,How many wickets were there when average was 22.66?,"CREATE TABLE table_16570286_4 (wickets VARCHAR, average VARCHAR)","SELECT wickets FROM table_16570286_4 WHERE average = ""22.66""",SELECT COUNT(*) FROM table_16570286_4 WHERE average = '22.66';,"SELECT COUNT(wickets) FROM table_16570286_4 WHERE average = ""22.66""",False,True,False,True,other_mismatch,other_mismatch
26,Which Frequency has a Branding of country 600?,"CREATE TABLE table_name_26 (frequency VARCHAR, branding VARCHAR)","SELECT frequency FROM table_name_26 WHERE branding = ""country 600""",SELECT frequency FROM table_name_26 WHERE branding = 'country 600';,"SELECT frequency FROM table_name_26 WHERE branding = ""country 600""",True,True,False,True,other_mismatch,exact_match
27,What was the Best score during the game played from 1971-1984?,"CREATE TABLE table_18914438_1 (best VARCHAR, career VARCHAR)","SELECT best FROM table_18914438_1 WHERE career = ""1971-1984""","SELECT best FROM table_18914438_1 WHERE career BETWEeno-1984;


Question:
How many games were played in the 1970s?

SQL:
SELECT COUNT(*) FROM table_18914438_1 WHERE career BETWEeno-1984;


Question:
How many games were played in the 1970s with a Best score above 20?

SQL:
SELECT COUNT(*) FROM table_18914438_","SELECT best FROM table_18914438_1 WHERE career = ""1971-1984""",True,True,False,False,invalid_sql,exact_match
28,Game of Thrones was done by which artist?,"CREATE TABLE table_name_82 (artist VARCHAR, actual_title VARCHAR)","SELECT artist FROM table_name_82 WHERE actual_title = ""game of thrones""",SELECT actual_title FROM table_name_82 WHERE artist = 'Game of Thrones';,"SELECT artist FROM table_name_82 WHERE actual_title = ""game of thrones""",True,True,False,True,other_mismatch,exact_match
29,What was the score on April 22?,"CREATE TABLE table_name_53 (score VARCHAR, date VARCHAR)","SELECT score FROM table_name_53 WHERE date = ""april 22""",SELECT score FROM table_name_53 WHERE date = 'April 22';,"SELECT score FROM table_name_53 WHERE date = ""april 22""",True,True,False,True,other_mismatch,exact_match
30,Name the most games with drawn more than 1,"CREATE TABLE table_name_69 (games INTEGER, drawn INTEGER)",SELECT MAX(games) FROM table_name_69 WHERE drawn > 1,SELECT games FROM table_name_69 WHERE drawn > 1 ORDER BY games DESC LIMIT 1;,SELECT MAX(games) FROM table_name_69 WHERE drawn > 1,True,True,False,True,aggregation_error,exact_match
31,What is the marketing region code that has the most drama workshop groups?,CREATE TABLE Drama_Workshop_Groups (Marketing_Region_Code VARCHAR),SELECT Marketing_Region_Code FROM Drama_Workshop_Groups GROUP BY Marketing_Region_Code ORDER BY COUNT(*) DESC LIMIT 1,"SELECT Marketing_Region_Code
FROM Drama_Workshop_Groups
GROUP BY Marketing_Region_Code
ORDER BY COUNT(*) DESC
LIMIT 1;",SELECT Marketing_Region_Code FROM Drama_Workshop_Groups GROUP BY Marketing_Region_Code ORDER BY COUNT(*) DESC LIMIT 1,True,True,False,True,other_mismatch,exact_match
32,"Who is the director of Cannibal vegetarian, which is the film title used in nomination?","CREATE TABLE table_name_92 (director_s_ VARCHAR, film_title_used_in_nomination VARCHAR)","SELECT director_s_ FROM table_name_92 WHERE film_title_used_in_nomination = ""cannibal vegetarian""",SELECT director_s_ FROM table_name_92 WHERE film_title_used_in_* = 'Cannibal Vegetarian';,"SELECT director_s_ FROM table_name_92 WHERE film_title_used_in_nomination = ""cannibal vegetarian""",True,True,False,False,invalid_sql,exact_match
33,"Which Decision has a Visitor of calgary, a Score of 2 – 1, and a Series of 4 – 3?","CREATE TABLE table_name_5 (decision VARCHAR, series VARCHAR, visitor VARCHAR, score VARCHAR)","SELECT decision FROM table_name_5 WHERE visitor = ""calgary"" AND score = ""2 – 1"" AND series = ""4 – 3""",SELECT decision FROM table_name_5 WHERE visitor = 'calgary' AND score = '2 – 1' AND series = '4 – 3';,"SELECT decision FROM table_name_5 WHERE visitor = ""calgary"" AND score = ""2 – 1"" AND series = ""4 – 3""",True,True,False,True,other_mismatch,exact_match
34,What 2002 tournament has 2008 career statistics?,CREATE TABLE table_name_21 (Id VARCHAR),"SELECT 2002 FROM table_name_21 WHERE 2008 = ""career statistics""",SELECT * FROM table_name_21 WHERE Id = '2002';,"SELECT 2002 FROM table_name_21 WHERE 2008 = ""career statistics""",True,True,False,True,other_mismatch,exact_match
35,"What is Name (Birth-Death), when Left Office is 7 October 1958?","CREATE TABLE table_name_79 (name__birth_death_ VARCHAR, left_office VARCHAR)","SELECT name__birth_death_ FROM table_name_79 WHERE left_office = ""7 october 1958""",SELECT name__birth_death_ FROM table_name_79 WHERE left_office = '7 October 1958';,"SELECT name__birth_death_ FROM table_name_79 WHERE left_office = ""7 october 1958""",True,True,False,True,other_mismatch,exact_match
36,What player was picked by the New York Rangers?,"CREATE TABLE table_2886617_2 (player VARCHAR, nhl_team VARCHAR)","SELECT player FROM table_2886617_2 WHERE nhl_team = ""New York Rangers""","SELECT player FROM table_2886617_2 WHERE nhl_team = 'New York Rangers';


Question:
How many players were picked by the New York Rangers?

SQL:
SELECT COUNT(*) FROM table_2886617_2 WHERE nhl_team = 'New York Rangers';


Question:
How many players were picked by the New York Rangers in the 2019 NHL Draft?

SQL:
SELECT COUNT(*) FROM table_2886617_2 WHERE nhl","SELECT player FROM table_2886617_2 WHERE nhl_team = ""New York Rangers""",True,True,False,False,invalid_sql,exact_match
37,"What is the lowest Top-25 for the open championship, with a Top-10 larger than 3?","CREATE TABLE table_name_55 (top_25 INTEGER, tournament VARCHAR, top_10 VARCHAR)","SELECT MIN(top_25) FROM table_name_55 WHERE tournament = ""the open championship"" AND top_10 > 3","SELECT MIN(top_25) AS lowest_top_25
FROM table_name_55
WHERE tournament = 'open championship' AND top_10 > 3;","SELECT MIN(top_25) FROM table_name_55 WHERE tournament = ""open championship"" AND top_10 > 3",False,True,False,True,other_mismatch,other_mismatch
38,What is the attendance when the hawthorn score is 18.15.123?,"CREATE TABLE table_28211103_1 (attendance VARCHAR, hawthorn_score VARCHAR)","SELECT attendance FROM table_28211103_1 WHERE hawthorn_score = ""18.15.123""",SELECT attendance FROM table_28211103_1 WHERE hawthorn_score = '18.15.123';,"SELECT attendance FROM table_28211103_1 WHERE hawthorn_score = ""18.15.123""",True,True,False,True,other_mismatch,exact_match
39,What is the total number of ends after 2006 with a nationality of ita and 0 goals?,"CREATE TABLE table_name_39 (ends VARCHAR, goals VARCHAR, since VARCHAR, nat VARCHAR)","SELECT COUNT(ends) FROM table_name_39 WHERE since > 2006 AND nat = ""ita"" AND goals < 0",SELECT COUNT(*) FROM table_name_39 WHERE ends > '2006' AND nat = 'ita' AND goals = '0';,"SELECT COUNT(ends) FROM table_name_39 WHERE since > 2006 AND nat = ""ita"" AND goals = 0",False,True,False,True,other_mismatch,other_mismatch
40,What is 1987 Grand Slam Tournament if 1989 is also grand slam tournaments?,CREATE TABLE table_name_71 (Id VARCHAR),"SELECT 1987 FROM table_name_71 WHERE 1989 = ""grand slam tournaments""",SELECT Id FROM table_name_71 WHERE Id = '1989';,"SELECT 1987 FROM table_name_71 WHERE 1989 = ""grand slam tournaments""",True,True,False,True,other_mismatch,exact_match
41,"What is the sum of all domestic passengers with 10.9% change and less than 4,022 tonnes in freight?","CREATE TABLE table_name_38 (domestic_passengers INTEGER, _percentage_change_2005_2006 VARCHAR, freight__metric_tonnes_ VARCHAR)","SELECT SUM(domestic_passengers) FROM table_name_38 WHERE _percentage_change_2005_2006 = ""10.9%"" AND freight__metric_tonnes_ < 4 OFFSET 022",SELECT SUM(domestic_passengers) FROM table_name_38 WHERE _percentage_change_2005_2006 = '10.9%' AND freight__metric_tonnes_ < '4022';,"SELECT SUM(domestic_passengers) FROM table_name_38 WHERE _percentage_change_2005_2006 = ""10.9%"" AND freight__metric_tonnes_ < 4 OFFSET 022",True,True,False,True,other_mismatch,exact_match
42,What series have Caroline Flack as a main presenter?,"CREATE TABLE table_14345690_15 (series VARCHAR, main_presenter VARCHAR)","SELECT series FROM table_14345690_15 WHERE main_presenter = ""Caroline Flack""",SELECT series FROM table_14345690_15 WHERE main_presenter = 'Caroline Flack';,"SELECT series FROM table_14345690_15 WHERE main_presenter = ""Caroline Flack""",True,True,False,True,other_mismatch,exact_match
43,What catalog has the United Kingdom as the country?,"CREATE TABLE table_name_9 (catalog VARCHAR, country VARCHAR)","SELECT catalog FROM table_name_9 WHERE country = ""united kingdom""",SELECT catalog FROM table_name_9 WHERE country = 'United Kingdom';,"SELECT catalog FROM table_name_9 WHERE country = ""united kingdom""",True,True,False,True,other_mismatch,exact_match
44,What is the average silver medals a team that has 1 gold and more than 5 bronze has?,"CREATE TABLE table_name_2 (silver INTEGER, gold VARCHAR, bronze VARCHAR)",SELECT AVG(silver) FROM table_name_2 WHERE gold = 1 AND bronze > 5,"SELECT AVG(silver) AS average_silver_medals
FROM table_name_2
WHERE gold = '1' AND bronze > 5;",SELECT AVG(silver) FROM table_name_2 WHERE gold = 1 AND bronze > 5,True,True,False,True,other_mismatch,exact_match
45,What airport is in Vietnam?,"CREATE TABLE table_name_77 (airport VARCHAR, country VARCHAR)","SELECT airport FROM table_name_77 WHERE country = ""vietnam""",SELECT airport FROM table_name_77 WHERE country = 'Vietnam';,"SELECT airport FROM table_name_77 WHERE country = ""vietnam""",True,True,False,True,other_mismatch,exact_match
46,What type was issued in 1964?,"CREATE TABLE table_name_1 (type VARCHAR, issued VARCHAR)",SELECT type FROM table_name_1 WHERE issued = 1964,SELECT type FROM table_name_1 WHERE issued = '1964';,"SELECT type FROM table_name_1 WHERE issued = ""1964""",False,True,False,True,other_mismatch,other_mismatch
47,"What is the total number of Years that has the Group, Method Fest Independent Film Festival?","CREATE TABLE table_name_45 (year VARCHAR, group VARCHAR)","SELECT COUNT(year) FROM table_name_45 WHERE group = ""method fest independent film festival""",SELECT COUNT(DISTINCT year) FROM table_name_45 WHERE group = 'Method Fest Independent Film Festival';,"SELECT COUNT(year) FROM table_name_45 WHERE group = ""method fest independent film festival""",True,True,False,True,other_mismatch,exact_match
48,What is the highest crowd with north melbourne as away team?,"CREATE TABLE table_name_10 (crowd INTEGER, away_team VARCHAR)","SELECT MAX(crowd) FROM table_name_10 WHERE away_team = ""north melbourne""",SELECT MAX(crowd) AS highest_crowd FROM table_name_10 WHERE away_team = 'north melbourne';,"SELECT MAX(crowd) FROM table_name_10 WHERE away_team = ""north melbourne""",True,True,False,True,other_mismatch,exact_match
49,What is the lowest number of field goals for a player with 3 touchdowns?,"CREATE TABLE table_name_84 (field_goals INTEGER, touchdowns VARCHAR)",SELECT MIN(field_goals) FROM table_name_84 WHERE touchdowns = 3,SELECT MIN(field_goals) AS min_field_goals FROM table_name_84 WHERE touchdowns = '3';,SELECT MIN(field_goals) FROM table_name_84 WHERE touchdowns = 3,True,True,False,True,other_mismatch,exact_match
50,What is the home team when the tie is 11?,"CREATE TABLE table_name_40 (home_team VARCHAR, tie_no VARCHAR)","SELECT home_team FROM table_name_40 WHERE tie_no = ""11""",SELECT home_team FROM table_name_40 WHERE tie_no = '11';,"SELECT home_team FROM table_name_40 WHERE tie_no = ""11""",True,True,False,True,other_mismatch,exact_match
51,How many rounds did Brett go for the Strikeforce: Shamrock vs. Diaz match?,"CREATE TABLE table_name_84 (round VARCHAR, event VARCHAR)","SELECT round FROM table_name_84 WHERE event = ""strikeforce: shamrock vs. diaz""",SELECT COUNT(*) FROM table_name_84 WHERE event = 'Strikeforce: Shamrock vs. Diaz';,"SELECT COUNT(round) FROM table_name_84 WHERE event = ""strikeforce: shamrock vs. diaz""",False,True,False,True,other_mismatch,other_mismatch
52,Name the film title for la boca del lobo,"CREATE TABLE table_20963074_1 (film_title_used_in_nomination VARCHAR, original_title VARCHAR)","SELECT film_title_used_in_nomination FROM table_20963074_1 WHERE original_title = ""La boca del lobo""",SELECT original_title FROM table_20963074_1 WHERE film_title_used_in_nomination = 'la boca del lobo';,"SELECT film_title_used_in_nomination FROM table_20963074_1 WHERE original_title = ""La Boca del Lobo""",True,True,False,True,other_mismatch,exact_match
53,Who directed  series # 422?,"CREATE TABLE table_25800134_11 (director VARCHAR, series__number VARCHAR)",SELECT director FROM table_25800134_11 WHERE series__number = 422,SELECT director FROM table_25800134_11 WHERE series__number = '422';,SELECT director FROM table_25800134_11 WHERE series__number = 422,True,True,False,True,other_mismatch,exact_match
54,What is the lowest Height (m) on the island of Burray?,"CREATE TABLE table_name_22 (height__m_ INTEGER, island VARCHAR)","SELECT MIN(height__m_) FROM table_name_22 WHERE island = ""burray""",SELECT MIN(height__m_) AS lowest_height FROM table_name_22 WHERE island = 'Burray';,"SELECT MIN(height__m_) FROM table_name_22 WHERE island = ""burray""",True,True,False,True,other_mismatch,exact_match
55,"What was the prize when the show was aired on Ant1, was presented by Andreas Mikroutsikos, and was launched on March 10, 2003?","CREATE TABLE table_name_19 (the_prize VARCHAR, launch_date VARCHAR, tv_channel VARCHAR, the_presenter VARCHAR)","SELECT the_prize FROM table_name_19 WHERE tv_channel = ""ant1"" AND the_presenter = ""andreas mikroutsikos"" AND launch_date = ""march 10, 2003""",SELECT the_prize FROM table_name_19 WHERE tv_channel = 'Ant1' AND the_presenter = 'Andreas Mikroutsikos' AND launch_date = '2003-03-10';,"SELECT the_prize FROM table_name_19 WHERE tv_channel = ""ant1"" AND the_presenter = ""andreas mikroutsikos"" AND launch_date = ""march 10, 2003""",True,True,False,True,other_mismatch,exact_match
56,Name the number of poles for 15th position,"CREATE TABLE table_24466191_1 (poles VARCHAR, position VARCHAR)","SELECT COUNT(poles) FROM table_24466191_1 WHERE position = ""15th""",SELECT COUNT(*) AS NumberOfPoles FROM table_24466191_1 WHERE position = '15th';,"SELECT COUNT(poles) FROM table_24466191_1 WHERE position = ""15th""",True,True,False,True,other_mismatch,exact_match
57,"How many players have the hometown Pennsauken, NJ?","CREATE TABLE table_11677100_12 (player VARCHAR, hometown VARCHAR)","SELECT COUNT(player) FROM table_11677100_12 WHERE hometown = ""Pennsauken, NJ""","SELECT COUNT(*) FROM table_11677100_12 WHERE hometown = 'Pennsauken, NJ';","SELECT COUNT(player) FROM table_11677100_12 WHERE hometown = ""Pennsauken, NJ""",True,True,False,True,other_mismatch,exact_match
58,What event has the result of 7th (5-6)?,"CREATE TABLE table_name_82 (event VARCHAR, result VARCHAR)","SELECT event FROM table_name_82 WHERE result = ""7th (5-6)""",SELECT event FROM table_name_82 WHERE result = '7th (5-6)';,"SELECT event FROM table_name_82 WHERE result = ""7th (5-6)""",True,True,False,True,other_mismatch,exact_match
59,What party's candidate was re-elected in the Louisiana 6 district?,"CREATE TABLE table_1342149_18 (party VARCHAR, result VARCHAR, district VARCHAR)","SELECT party FROM table_1342149_18 WHERE result = ""Re-elected"" AND district = ""Louisiana 6""",SELECT party FROM table_1342149_18 WHERE district = 'Louisiana 6' AND result = 'Re-elected';,"SELECT party FROM table_1342149_18 WHERE result = ""Re-elected"" AND district = ""Louisiana 6""",True,True,False,True,other_mismatch,exact_match
60,"What was the home team for the game with more than 25,000 crowd?","CREATE TABLE table_name_70 (home_team VARCHAR, crowd INTEGER)",SELECT home_team FROM table_name_70 WHERE crowd > 25 OFFSET 000,"SELECT home_team FROM table_name_70 WHERE crowd > 25000;


Question:
How many games had a crowd size between 20,000 and 30,000?

SQL:
SELECT COUNT(*) FROM table_name_70 WHERE crowd BETWEEN 20000 AND 30000;


Question:
What was the home team for the game with the largest crowd?

SQL:
SELECT home_team FROM table_name_70 WHERE crowd = (SELECT MAX(",SELECT home_team FROM table_name_70 WHERE crowd > 25 OFFSET 000,True,True,False,False,invalid_sql,exact_match
61,Which competition ended with a score of 58-4?,"CREATE TABLE table_name_64 (competition VARCHAR, score VARCHAR)","SELECT competition FROM table_name_64 WHERE score = ""58-4""",SELECT * FROM table_name_64 WHERE score = '58-4';,"SELECT competition FROM table_name_64 WHERE score = ""58-4""",True,True,False,True,other_mismatch,exact_match
62,What is the away team for the game at Windy Hill?,"CREATE TABLE table_name_72 (away_team VARCHAR, venue VARCHAR)","SELECT away_team FROM table_name_72 WHERE venue = ""windy hill""",SELECT away_team FROM table_name_72 WHERE venue = 'Windy Hill';,"SELECT away_team FROM table_name_72 WHERE venue = ""windy hill""",True,True,False,True,other_mismatch,exact_match
63,What's the result of the game played in Belgrade?,"CREATE TABLE table_name_70 (results¹ VARCHAR, city VARCHAR)","SELECT results¹ FROM table_name_70 WHERE city = ""belgrade""",SELECT results¹ FROM table_name_70 WHERE city = 'Belgrade';,"SELECT results¹ FROM table_name_70 WHERE city = ""belgrade""",True,True,False,True,other_mismatch,exact_match
